Sample	Day	IVC	Embryo	Batch	Day_Emb	Lineage	Sex
Tri_hv_D10_IVC5_E1_B1_1	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_2	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_3	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_4	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_5	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_7	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_8	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_9	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_10	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_12	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_13	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_14	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_15	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_16	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_17	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_18	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_19	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_20	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_21	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_22	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_23	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_24	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_25	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_26	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_27	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_28	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_29	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_30	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_31	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_32	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_33	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_35	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_36	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_37	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_38	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_39	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_40	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_41	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_42	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_43	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_44	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_45	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_46	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_47	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_48	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_49	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_50	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_51	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_53	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_54	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_55	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_56	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_57	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_58	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_59	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_60	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_61	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_62	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_63	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_64	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_65	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_66	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_67	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_68	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_70	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_71	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_72	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_73	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_74	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_75	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_76	D10	IVC5	E1	B1	D10_E1	TE	Female
Tri_hv_D10_IVC5_E1_B1_77	D10	IVC5	E1	B1	D10_E1	TE	Female
